ano,sigla_uf,t_incr_ano_uf
2002,AC,959
2003,AC,1028
2004,AC,810
2005,AC,740
2006,AC,239
2007,AC,168
2008,AC,299
2009,AC,168
2010,AC,276
2011,AC,309
2012,AC,281
2013,AC,208
2014,AC,357
2015,AC,230
2016,AC,379
2017,AC,260
2018,AC,483
2019,AC,738
2020,AC,656
2002,AM,1025
2003,AM,1609
2004,AM,1136
2005,AM,871
2006,AM,727
2007,AM,543
2008,AM,622
2009,AM,349
2010,AM,553
2011,AM,517
2012,AM,479
2013,AM,495
2014,AM,563
2015,AM,698
2016,AM,1018
2017,AM,1049
2018,AM,1089
2019,AM,1591
2020,AM,1474
2002,AP,68
2003,AP,424
2004,AP,102
2005,AP,60
2006,AP,48
2007,AP,93
2008,AP,99
2009,AP,47
2010,AP,71
2011,AP,16
2012,AP,19
2013,AP,24
2014,AP,29
2015,AP,19
2016,AP,13
2017,AP,19
2018,AP,25
2019,AP,40
2020,AP,10
2002,MA,1599
2003,MA,1251
2004,MA,1243
2005,MA,1281
2006,MA,588
2007,MA,601
2008,MA,1258
2009,MA,962
2010,MA,578
2011,MA,336
2012,MA,309
2013,MA,283
2014,MA,279
2015,MA,213
2016,MA,245
2017,MA,285
2018,MA,191
2019,MA,284
2020,MA,319
2002,MT,9527
2003,MT,10496
2004,MT,10347
2005,MT,8522
2006,MT,2591
2007,MT,2581
2008,MT,3449
2009,MT,829
2010,MT,780
2011,MT,1067
2012,MT,794
2013,MT,1105
2014,MT,1104
2015,MT,1492
2016,MT,1384
2017,MT,1614
2018,MT,1491
2019,MT,1905
2020,MT,1827
2002,PA,8663
2003,PA,11271
2004,PA,9222
2005,PA,8242
2006,PA,5115
2007,PA,5587
2008,PA,5686
2009,PA,3591
2010,PA,3344
2011,PA,2419
2012,PA,1714
2013,PA,2090
2014,PA,1787
2015,PA,2308
2016,PA,2744
2017,PA,2604
2018,PA,2702
2019,PA,4470
2020,PA,4625
2002,RO,2980
2003,RO,3290
2004,RO,3844
2005,RO,3647
2006,RO,1344
2007,RO,1600
2008,RO,1109
2009,RO,433
2010,RO,441
2011,RO,779
2012,RO,705
2013,RO,980
2014,RO,771
2015,RO,972
2016,RO,1200
2017,RO,1308
2018,RO,1250
2019,RO,1431
2020,RO,1326
2002,RR,275
2003,RR,558
2004,RR,312
2005,RR,127
2006,RR,215
2007,RR,264
2008,RR,674
2009,RR,113
2010,RR,239
2011,RR,131
2012,RR,108
2013,RR,149
2014,RR,191
2015,RR,156
2016,RR,230
2017,RR,127
2018,RR,132
2019,RR,555
2020,RR,325
2002,TO,240
2003,TO,143
2004,TO,152
2005,TO,400
2006,TO,33
2007,TO,64
2008,TO,105
2009,TO,60
2010,TO,55
2011,TO,35
2012,TO,48
2013,TO,77
2014,TO,46
2015,TO,56
2016,TO,53
2017,TO,34
2018,TO,23
2019,TO,31
2020,TO,25
